Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations,,10.1016/j.stem.2015.04.004,True,Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations.pdf,2015,,Cell Stem Cell,True,SciHub,Nicola~K. Wilson and David~G. Kent and Florian Buettner and Mona Shehata and Iain~C. Macaulay and Fernando~J. Calero-Nieto and Manuel S{\'{a}}nchez~Castillo and Caroline~A. Oedekoven and Evangelia Diamanti and Reiner Schulte and Chris~P. Ponting and Thierry Voet and Carlos Caldas and John Stingl and Anthony~R. Green and Fabian~J. Theis and Berthold GÃ¶ttgens
High-Throughput Single-Cell Labeling (Hi-SCL) for RNA-Seq Using Drop-Based Microfluidics,,10.1371/journal.pone.0116328,True,,2015,,{PLOS} {ONE},False,,Assaf Rotem and Oren Ram and Noam Shoresh and Ralph A. Sperling and Michael Schnall-Levin and Huidan Zhang and Anindita Basu and Bradley E. Bernstein and David A. Weitz
Quantitative High-Resolution Cellular Map of the Organ of Corti,,10.1016/j.celrep.2015.04.062,True,Quantitative High-Resolution Cellular Map of the Organ of Corti.pdf,2015,,Cell Reports,True,SciHub,JÃ¶rg Waldhaus and Robert Durruthy-Durruthy and Stefan Heller
Single‐cell polyadenylation site mapping reveals 3′ isoform choice variability,,10.15252/msb.20156198,True,Single_cell polyadenylation site mapping reveals 3_ isoform choice variability.pdf,2015,,Molecular Systems Biology,True,SciHub,Lars Velten and Simon Anders and Aleksandra Pekowska and Aino I JÃ¤rvelin and Wolfgang Huber and Vicent Pelechano and Lars M Steinmetz
The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells,,10.1016/j.cell.2015.05.015,True,The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells.pdf,2015,,Cell,True,SciHub,Fan Guo and Liying Yan and Hongshan Guo and Lin Li and Boqiang Hu and Yangyu Zhao and Jun Yong and Yuqiong Hu and Xiaoye Wang and Yuan Wei and Wei Wang and Rong Li and Jie Yan and Xu Zhi and Yan Zhang and Hongyan Jin and Wenxin Zhang and Yu Hou and Ping Zhu and Jingyun Li and Ling Zhang and Sirui Liu and Yixin Ren and Xiaohui Zhu and Lu Wen and Yi Qin Gao and Fuchou Tang and Jie Qiao
Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow,,10.1038/ni.3200,True,Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow.pdf,2015,,Nature Immunology,True,SciHub,Andreas Schlitzer and V Sivakamasundari and Jinmiao Chen and Hermi Rizal Bin Sumatoh and Jaring Schreuder and Josephine Lum and Benoit Malleret and Sanqian Zhang and Anis Larbi and Francesca Zolezzi and Laurent Renia and Michael Poidinger and Shalin Naik and Evan W Newell and Paul Robson and Florent Ginhoux
Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells,,10.1186/s13059-015-0692-3,True,Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells.pdf,2015,,Genome Biology,True,SciHub,Kyu-Tae Kim and Hye Won Lee and Hae-Ock Lee and Sang Cheol Kim and Yun Jee Seo and Woosung Chung and Hye Hyeon Eum and Do-Hyun Nam and Junhyong Kim and Kyeung Min Joo and Woong-Yang Park
Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation,,10.1186/s13059-015-0683-4,True,Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation.pdf,2015,,Genome Biology,True,SciHub,Hannah Dueck and Mugdha Khaladkar and Tae Kyung Kim and Jennifer M. Spaethling and Chantal Francis and Sangita Suresh and Stephen A. Fisher and Patrick Seale and Sheryl G. Beck and Tamas Bartfai and Bernhard Kuhn and James Eberwine and Junhyong Kim
Scalable microfluidics for single-cell RNA printing and sequencing,,10.1186/s13059-015-0684-3,True,Scalable microfluidics for single-cell RNA printing and sequencing.pdf,2015,,Genome Biology,True,SciHub,Sayantan Bose and Zhenmao Wan and Ambrose Carr and Abbas H. Rizvi and Gregory Vieira and Dana Pe'er and Peter A. Sims
Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells,,10.1186/1471-2164-15-1129,True,Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells.pdf,2014,,{BMC} Genomics,True,SciHub,Dominic G Rothwell and Yaoyong Li and Mahmood Ayub and Catriona Tate and Gillian Newton and Yvonne Hey and Louise Carter and Suzanne Faulkner and Massimo Moro and Stuart Pepper and Crispin Miller and Fiona Blackhall and Giulia Bertolini and Luca Roz and Caroline Dive and Ged Brady
‘LungGENS’: a web-based tool for mapping single-cell gene expression in the developing lung: Figure 1,,10.1136/thoraxjnl-2015-207035,True,_LungGENS__ a web-based tool for mapping single-cell gene expression in the developing lung_ Figure_1.pdf,2015,,Thorax,True,SciHub,Yina Du and Minzhe Guo and Jeffrey A Whitsett and Yan Xu
Computational assignment of cell-cycle stage from single-cell transcriptome data,,10.1016/j.ymeth.2015.06.021,True,Computational assignment of cell-cycle stage from single-cell transcriptome data.pdf,2015,,Methods,True,SciHub,Antonio Scialdone and Kedar N. Natarajan and Luis R. Saraiva and Valentina Proserpio and Sarah A. Teichmann and Oliver Stegle and John C. Marioni and Florian Buettner
Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos,,10.1186/s13059-015-0706-1,True,Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos.pdf,2015,,Genome Biology,True,SciHub,Xiaoying Fan and Xiannian Zhang and Xinglong Wu and Hongshan Guo and Yuqiong Hu and Fuchou Tang and Yanyi Huang
Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury,,10.1016/j.stem.2015.07.002,True,Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury.pdf,2015,,Cell Stem Cell,True,SciHub,Enric Llorens-Bobadilla and Sheng Zhao and Avni Baser and Gonzalo Saiz-Castro and Klara Zwadlo and Ana Martin-Villalba
Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells,,10.1038/ni.3246,True,Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells.pdf,2015,,Nature Immunology,True,SciHub,Philip Brennecke and Alejandro Reyes and Sheena Pinto and Kristin Rattay and Michelle Nguyen and Rita KÃ¼chler and Wolfgang Huber and Bruno Kyewski and Lars M Steinmetz
Aire controls gene expression in the thymic epithelium with ordered stochasticity,,10.1038/ni.3247,True,Aire controls gene expression in the thymic epithelium with ordered stochasticity.pdf,2015,,Nature Immunology,True,SciHub,Matthew Meredith and David Zemmour and Diane Mathis and Christophe Benoist
Single-cell messenger RNA sequencing reveals rare intestinal cell types,,10.1038/nature14966,True,Single-cell messenger RNA sequencing reveals rare intestinal cell types.pdf,2015,,Nature,True,SciHub,Dominic GrÃ¼n and Anna Lyubimova and Lennart Kester and Kay Wiebrands and Onur Basak and Nobuo Sasaki and Hans Clevers and Alexander van Oudenaarden
Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis,,10.1016/j.stem.2015.07.013,True,Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis.pdf,2015,,Cell Stem Cell,True,SciHub,Jaehoon Shin and Daniel~A. Berg and Yunhua Zhu and Joseph~Y. Shin and Juan Song and Michael~A. Bonaguidi and Grigori Enikolopov and David~W. Nauen and Kimberly~M. Christian and Guo-li Ming and Hongjun Song
Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments,,10.1038/nmeth.3549,True,Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments.pdf,2015,,Nature Methods,True,SciHub,Ning Leng and Li-Fang Chu and Chris Barry and Yuan Li and Jeea Choi and Xiaomao Li and Peng Jiang and Ron M Stewart and James A Thomson and Christina Kendziorski
Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells,,10.1186/s13059-015-0739-5,True,Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells.pdf,2015,,Genome Biology,True,SciHub,Jason C. H. Tsang and Yong Yu and Shannon Burke and Florian Buettner and Cui Wang and Aleksandra A. Kolodziejczyk and Sarah A. Teichmann and Liming Lu and Pentao Liu
Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses,,10.1016/j.cell.2015.08.027,True,Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses.pdf,2015,,Cell,True,SciHub,Roi Avraham and Nathan Haseley and Douglas Brown and Cristina Penaranda and Humberto~B. Jijon and John~J. Trombetta and Rahul Satija and Alex~K. Shalek and Ramnik~J. Xavier and Aviv Regev and Deborah~T. Hung
Novel PRD-like homeodomain transcription factors and retrotransposon elements in early human development,,10.1038/ncomms9207,True,Novel PRD-like homeodomain transcription factors and retrotransposon elements in early human development.pdf,2015,,Nature Communications,True,SciHub,Virpi Töhönen and Shintaro Katayama and Liselotte Vesterlund and Eeva-Mari Jouhilahti and Mona Sheikhi and Elo Madissoon and Giuditta Filippini-Cattaneo and Marisa Jaconi and Anna Johnsson and Thomas R. Bürglin and Sten Linnarsson and Outi Hovatta and Juha Kere
Genome-wide Maps of Nuclear Lamina Interactions in Single Human Cells,,10.1016/j.cell.2015.08.040,True,Genome-wide Maps of Nuclear Lamina Interactions in Single Human Cells.pdf,2015,,Cell,True,SciHub,Jop Kind and Ludo Pagie and Sandra~S. de~Vries and Leila Nahidiazar and Siddharth~S. Dey and Magda Bienko and Ye Zhan and Bryan Lajoie and Carolyn~A. de~Graaf and Mario Amendola and Geoffrey Fudenberg and Maxim Imakaev and Leonid~A. Mirny and Kees Jalink and Job Dekker and Alexander van~Oudenaarden and Bas van~Steensel
RNA-Seq of single prostate CTCs implicates noncanonical Wnt signaling in antiandrogen resistance,,10.1126/science.aab0917,True,RNA-Seq of single prostate CTCs implicates noncanonical Wnt signaling in antiandrogen resistance.pdf,2015,,Science,True,SciHub,David T. Miyamoto and Yu Zheng and Ben S. Wittner and Richard J. Lee and Huili Zhu and Katherine T. Broderick and Rushil Desai and Douglas B. Fox and Brian W. Brannigan and Julie Trautwein and Kshitij S. Arora and Niyati Desai and Douglas M. Dahl and Lecia V. Sequist and Matthew R. Smith and Ravi Kapur and Chin-Lee Wu and Toshi Shioda and Sridhar Ramaswamy and David T. Ting and Mehmet Toner and Shyamala Maheswaran and Daniel A. Haber
Molecular Identity of Human Outer Radial Glia during Cortical Development,,10.1016/j.cell.2015.09.004,True,Molecular Identity of Human Outer Radial Glia during Cortical Development.pdf,2015,,Cell,True,SciHub,Alex~A. Pollen and Tomasz~J. Nowakowski and Jiadong Chen and Hanna Retallack and Carmen Sandoval-Espinosa and Cory~R. Nicholas and Joe Shuga and Siyuan~John Liu and Michael~C. Oldham and Aaron Diaz and Daniel~A. Lim and Anne~A. Leyrat and Jay~A. West and Arnold~R. Kriegstein
Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation,,10.1016/j.stem.2015.09.011,True,Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation.pdf,2015,,Cell Stem Cell,True,SciHub,Aleksandra~A. Kolodziejczyk and Jong~Kyoung Kim and Jason~C.H. Tsang and Tomislav Ilicic and Johan Henriksson and Kedar~N. Natarajan and Alex~C. Tuck and Xuefei Gao and Marc BÃ¼hler and Pentao Liu and John~C. Marioni and Sarah~A. Teichmann
Single-cell RNA-seq reveals changes in cell cycle and differentiation programs upon aging of hematopoietic stem cells,,10.1101/gr.192237.115,True,Single-cell RNA-seq reveals changes in cell cycle and differentiation programs upon aging of hematopoietic stem cells.pdf,2015,,Genome Research,True,SciHub,Monika S. Kowalczyk and Itay Tirosh and Dirk Heckl and Tata Nageswara Rao and Atray Dixit and Brian J. Haas and Rebekka K. Schneider and Amy J. Wagers and Benjamin L. Ebert and Aviv Regev
Intrinsic Age-Dependent Changes and Cell-Cell Contacts Regulate Nephron Progenitor Lifespan,,10.1016/j.devcel.2015.09.009,True,Intrinsic Age-Dependent Changes and Cell-Cell Contacts Regulate Nephron Progenitor Lifespan.pdf,2015,,Developmental Cell,True,SciHub,Shuang Chen and Eric~W. Brunskill and S.~Steven Potter and Phillip~J. Dexheimer and Nathan Salomonis and Bruce~J. Aronow and Christian~I. Hong and Tongli Zhang and Raphael Kopan
Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear,,10.1038/ncomms9557,True,Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear.pdf,2015,,Nature Communications,True,SciHub,Joseph C. Burns and Michael C. Kelly and Michael Hoa and Robert J. Morell and Matthew W. Kelley
Inhibition of DYRK1A and GSK3B induces human β-cell proliferation,,10.1038/ncomms9372,True,Inhibition of DYRK1A and GSK3B induces human β-cell proliferation.pdf,2015,,Nature Communications,True,SciHub,Weijun Shen and Brandon Taylor and Qihui Jin and Van Nguyen-Tran and Shelly Meeusen and You-Qing Zhang and Anwesh Kamireddy and Austin Swafford and Andrew F. Powers and John Walker and John Lamb and Badry Bursalaya and Michael DiDonato and George Harb and Minhua Qiu and Christophe M. Filippi and Lisa Deaton and Carolina N. Turk and Wilma L. Suarez-Pinzon and Yahu Liu and Xueshi Hao and Tingting Mo and Shanshan Yan and Jing Li and Ann E. Herman and Bernhard J. Hering and Tom Wu and H. Martin Seidel and Peter McNamara and Richard Glynne and Bryan Laffitte
Full-length single-cell RNA-seq applied to a viral human cancer: applications to HPV expression and splicing analysis in HeLa S3 cells,,10.1186/s13742-015-0091-4,True,Full-length single-cell RNA-seq applied to a viral human cancer_ applications to HPV expression and splicing analysis in HeLa S3 cells.pdf,2015,,{GigaScience},True,SciHub,Liang Wu and Xiaolong Zhang and Zhikun Zhao and Ling Wang and Bo Li and Guibo Li and Michael Dean and Qichao Yu and Yanhui Wang and Xinxin Lin and Weijian Rao and Zhanlong Mei and Yang Li and Runze Jiang and Huan Yang and Fuqiang Li and Guoyun Xie and Liqin Xu and Kui Wu and Jie Zhang and Jianghao Chen and Ting Wang and Karsten Kristiansen and Xiuqing Zhang and Yingrui Li and Huanming Yang and Jian Wang and Yong Hou and Xun Xu
Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis,,10.1126/science.aad2456,True,Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis.pdf,2015,,Science,True,SciHub,Naresh K. Hanchate and Kunio Kondoh and Zhonghua Lu and Donghui Kuang and Xiaolan Ye and Xiaojie Qiu and Lior Pachter and Cole Trapnell and Linda B. Buck
CD5L/AIM Regulates Lipid Biosynthesis and Restrains Th17 Cell Pathogenicity,,10.1016/j.cell.2015.10.068,True,CD5L_AIM Regulates Lipid Biosynthesis and Restrains Th17 Cell Pathogenicity.pdf,2015,,Cell,True,SciHub,Chao Wang and Nir Yosef and Jellert Gaublomme and Chuan Wu and Youjin Lee and Clary~B. Clish and Jim Kaminski and Sheng Xiao and Gerd~Meyer Zu~Horste and Mathias Pawlak and Yasuhiro Kishi and Nicole Joller and Katarzyna Karwacz and Chen Zhu and Maria Ordovas-Montanes and Asaf Madi and Ivo Wortman and Toru Miyazaki and Raymond~A. Sobel and Hongkun Park and Aviv Regev and Vijay~K. Kuchroo
Single-Cell Genomics Unveils Critical Regulators of Th17 Cell Pathogenicity,,10.1016/j.cell.2015.11.009,True,Single-Cell Genomics Unveils Critical Regulators of Th17 Cell Pathogenicity.pdf,2015,,Cell,True,SciHub,Jellert~T. Gaublomme and Nir Yosef and Youjin Lee and Rona~S. Gertner and Li~V. Yang and Chuan Wu and Pier~Paolo Pandolfi and Tak Mak and Rahul Satija and Alex~K. Shalek and Vijay~K. Kuchroo and Hongkun Park and Aviv Regev
Transcriptional Heterogeneity and Lineage Commitment in Myeloid Progenitors,,10.1016/j.cell.2015.11.013,True,Transcriptional Heterogeneity and Lineage Commitment in Myeloid Progenitors.pdf,2015,,Cell,True,SciHub,Franziska Paul and Ya'ara Arkin and Amir Giladi and Diego~Adhemar Jaitin and Ephraim Kenigsberg and Hadas Keren-Shaul and Deborah Winter and David Lara-Astiaso and Meital Gury and Assaf Weiner and Eyal David and Nadav Cohen and Felicia~Kathrine~Bratt Lauridsen and Simon Haas and Andreas Schlitzer and Alexander Mildner and Florent Ginhoux and Steffen Jung and Andreas Trumpp and Bo~Torben Porse and Amos Tanay and Ido Amit
